name,country,lat,lng
Hyderābād,India,17.3617,78.4747
Johannesburg,South Africa,-26.2044,28.0456
Santiago,Chile,-33.4372,-70.6506
Saint Petersburg,Russia,59.9375,30.3086
Montréal,Canada,45.5089,-73.5617
Bangalore,India,12.9789,77.5917
Dongguan,China,23.021,113.752
San Diego,United States,32.718787,-117.157705
Jeddah,Saudi Arabia,21.5433,39.1728
Lahore,Pakistan,31.5497,74.3436
Hanoi,Vietnam,21.032961,105.846189
Shenyang,China,41.8025,123.4281
São Paulo,Brazil,-23.55,-46.6333
Foshan,China,23.0214,113.1216
Minneapolis,United States,44.978633,-93.267376
Ankara,Turkey,39.93,32.85
Denver,United States,39.745430,-104.992675
Rome,Italy,41.8933,12.4828
Birmingham,United Kingdom,52.48,-1.9025
Kinshasa,Congo (Kinshasa),-4.3219,15.3119
Quanzhou,China,24.8744,118.6757
Guadalajara,Mexico,20.6767,-103.3475
Monterrey,Mexico,25.6667,-100.3
Baghdad,Iraq,33.3153,44.3661
Ahmedabad,India,23.0225,72.5714
Pune,India,18.5203,73.8567
Busan,"Korea, South",35.155938,129.060062
Linyi,China,35.1038,118.3564
Vancouver,Canada,49.280996,-123.118992
Baoding,China,38.874,115.464
Munich,Germany,48.1375,11.575
Washington,United States,38.899371,-77.033597
Qingdao,China,36.0669,120.3827
Queens,United States,40.740828,-73.875638
Yokohama,Japan,35.4442,139.6381
Dalian,China,38.916243,121.608953
Cape Town,South Africa,-33.9253,18.4239
Budapest,Hungary,47.4925,19.0514
Athens,Greece,37.9842,23.7281
Hamburg,Germany,53.55,10.0
Brisbane,Australia,-27.4678,153.0281
Zhanjiang,China,21.2701,110.3575
Mecca,Saudi Arabia,21.4225,39.8233
Stuttgart,Germany,48.7775,9.18
Suzhou,China,33.6333,116.9683
Luanda,Angola,-8.8383,13.2344
Harbin,China,45.7576,126.6409
Phoenix,United States,33.448220,-112.076084
Zhengzhou,China,34.764,113.684
Taipei,Taiwan,25.039314,121.520766
Surabaya,Indonesia,-7.2458,112.7378
Belo Horizonte,Brazil,-19.9167,-43.9333
Ganzhou,China,25.831,114.933
Alexandria,Egypt,31.1975,29.8925
Jinan,China,36.6702,117.0207
Dar es Salaam,Tanzania,-6.8161,39.2803
Suzhou,China,31.3,120.6194
Changsha,China,28.228,112.939
Kunming,China,25.0464,102.7094
Guilin,China,25.275,110.296
Incheon,"Korea, South",37.4833,126.6333
Khartoum,Sudan,15.599850,32.528647
Sūrat,India,21.1702,72.8311
Nairobi,Kenya,-1.2864,36.8172
Kuwait City,Kuwait,29.3697,47.9783
Bucharest,Romania,44.4325,26.1039
Changchun,China,43.897,125.326
Shangqiu,China,34.415,115.656
Nanyang,China,32.9987,112.5292
Jining,China,35.4151,116.5871
Xiamen,China,24.4796,118.0889
Ningbo,China,29.8603,121.6245
Pudong,China,31.2347,121.5064
Fuzhou,China,27.949,116.358
Tongshan,China,34.204,117.284
Zhoukou,China,33.625,114.6418
Giza,Egypt,29.987,31.2118
Kaohsiung,Taiwan,22.615,120.2975
Heze,China,35.2343,115.4796
Casablanca,Morocco,33.5333,-7.5833
Abidjan,Côte d’Ivoire,5.331319,-4.021942
Hefei,China,31.8206,117.2273
Fortaleza,Brazil,-3.7275,-38.5275
Yancheng,China,33.3482,120.1626
Amman,Jordan,31.9497,35.9328
Cangzhou,China,38.3047,116.8387
Fuzhou,China,26.0743,119.2964
Sapporo,Japan,43.0619,141.3544
Daegu,"Korea, South",35.8717,128.6017
Taichung,Taiwan,24.1439,120.6794
Fuyang,China,32.89,115.814
Shantou,China,23.354,116.682
Kyiv,Ukraine,50.45,30.5233
Jieyang,China,23.551,116.3727
Algiers,Algeria,36.7539,3.0589
Zunyi,China,27.722,107.031
Yangzhou,China,32.3912,119.4363
Xiangyang,China,32.01,112.122
Shijiazhuang,China,38.0425,114.51
Bursa,Turkey,40.1833,29.05
Hengyang,China,26.894,112.572
Taiyuan,China,37.8704,112.5497
Jiangmen,China,22.5789,113.0815
Nanning,China,22.8167,108.3275
Zhangzhou,China,24.513,117.647
Bogotá,Colombia,4.7111,-74.0722
Hohhot,China,40.842,111.749
Xingtai,China,37.0717,114.5048
Tampa,United States,27.951691,-82.457316
Zhumadian,China,33.014,114.022
Xinyang,China,32.149,114.091
Xianyang,China,34.3299,108.7088
Lucknow,India,26.85,80.95
Wenzhou,China,27.9938,120.6993
Bijie,China,27.284,105.292
Maoming,China,21.6627,110.9255
Shaoyang,China,27.2395,111.4679
Shangrao,China,28.4551,117.9431
Langfang,China,39.5383,116.6835
Changde,China,29.031,111.699
Nanchang,China,28.683,115.858
Tashkent,Uzbekistan,41.3111,69.2797
Quezon City,Philippines,14.65,121.0475
Tai’an,China,36.202,117.087
Douala,Cameroon,4.05,9.7
Qiqihar,China,47.3549,123.9182
Zhangjiakou,China,40.769,114.886
Pyongyang,"Korea, North",39.0167,125.7475
Lanzhou,China,36.0606,103.8268
Rizhao,China,35.417,119.527
Jiujiang,China,29.661,115.954
Jaipur,India,26.9,75.8
Wuxi,China,31.491,120.312
Mianyang,China,31.468,104.679
Guatemala City,Guatemala,14.6133,-90.5353
Luoyang,China,34.6197,112.4539
Tilburg,Netherlands,51.55,5.0833
Liaocheng,China,36.4559,115.9852
Changzhou,China,31.811,119.974
Liuzhou,China,24.3264,109.4281
Meizhou,China,24.289,116.122
Huanggang,China,30.4537,114.8724
Mashhad,Iran,36.3264,59.5433
Guiyang,China,26.647,106.63
La Paz,Bolivia,-16.4958,-68.1333
Dezhou,China,37.436,116.359
Yulin,China,22.654,110.181
Birmingham,United States,33.5279,-86.7971
Qujing,China,25.491,103.796
Nanchong,China,30.8372,106.1106
Nangandao,China,35.3036,113.9268
Medan,Indonesia,3.5894,98.6739
Yongzhou,China,26.42,111.613
Zhaoqing,China,23.05,112.4667
Jilin,China,43.8519,126.5481
Haikou,China,20.0186,110.3488
Dazhou,China,31.2093,107.4678
Beirut,Lebanon,33.8983,35.5057
Luzhou,China,28.871,105.442
Bozhou,China,33.8626,115.7742
Guayaquil,Ecuador,-2.19,-79.8875
Sacramento,United States,38.5677,-121.4685
Zhaotong,China,27.338,103.717
Yibin,China,28.752,104.643
Abuja,Nigeria,9.0667,7.4833
Wuhu,China,31.3526,118.4331
Cali,Colombia,3.4206,-76.5222
Chifeng,China,42.257,118.888
Zhongshan,China,22.517,113.3925
Anqing,China,30.5318,117.1153
Yichun,China,27.816,114.417
Suqian,China,33.9331,118.2831
Gwangju,"Korea, South",35.1653,126.8486
Ji’an,China,27.0912,114.9668
Tangshan,China,39.6294,118.1739
Addis Ababa,Ethiopia,9.03,38.74
Pingdingshan,China,33.735,113.2999
Chenzhou,China,25.77,113.016
Chaozhou,China,23.658,116.622
Zhuhai,China,22.2716,113.5769
Yuncheng,China,35.0267,111.007
Huanglongsi,China,34.795,114.345
Kabul,Afghanistan,34.5253,69.1783
Anshan,China,41.108,122.994
Weinan,China,34.5206,109.471
Santa Cruz de la Sierra,Bolivia,-17.7892,-63.1975
Ürümqi,China,43.8225,87.6125
Xining,China,36.6224,101.7804
Xinpu,China,34.5966,119.2214
Huaihua,China,27.5698,110.0016
Kanpur,India,26.4499,80.3319
İzmir,Turkey,38.42,27.14
Taizhou,China,32.4567,119.9229
Qingyuan,China,23.682,113.056
Baotou,China,40.6213,109.9532
Damascus,Syria,33.5131,36.2919
Zhenjiang,China,32.188,119.424
Yiyang,China,28.5549,112.356
Shiyan,China,32.629,110.7987
Lu’an,China,31.736,116.52
Jiangguanchi,China,34.0244,113.8201
Weihai,China,37.5133,122.1205
Bamako,Mali,12.6392,-8.0028
Guigang,China,23.112,109.599
Zhuzhou,China,27.829,113.133
Xiaoganzhan,China,30.918,113.957
Leshan,China,29.552,103.766
Putian,China,25.4526,119.0078
Hengshui,China,37.739,115.669
Chattogram,Bangladesh,22.335,91.8325
Qinhuangdao,China,39.8882,119.5202
Santiago,Dominican Republic,19.4572,-70.6889
Hanzhong,China,33.0664,107.0232
Riverside,United States,33.9381,-117.3949
Linfen,China,36.088,111.519
Yantai,China,37.4646,121.4478
Nāgpur,India,21.1497,79.0806
Kumasi,Ghana,6.7,-1.625
Huizhou,China,23.112,114.416
Xiaoxita,China,30.692,111.287
Las Vegas,United States,36.2333,-115.2654
Chuzhou,China,32.256,118.333
Accra,Ghana,5.55,-0.2
London,Canada,42.9836,-81.2497
Loudi,China,27.6998,111.9944
Binzhou,China,37.383,117.971
Baltimore,United States,39.3051,-76.6144
Handan,China,36.601,114.487
Rangoon,Burma,16.795,96.16
Shaoxing,China,30.0511,120.5833
Faisalabad,Pakistan,31.4167,73.0911
St. Louis,United States,38.6359,-90.2451
Suihua,China,46.654,126.969
Ibadan,Nigeria,7.3964,3.9167
Portland,United States,45.5371,-122.65
Zaozhuang,China,34.8109,117.3238
Buffalo,United States,42.9018,-78.8487
Neijiang,China,29.5802,105.058
Baicheng,China,23.903,106.619
San Antonio,United States,29.4632,-98.5238
Yulinshi,China,38.2858,109.7341
Puyang,China,35.7627,115.0292
Jiaozuo,China,35.2157,113.2419
Ningde,China,26.6662,119.5477
Vienna,Austria,48.2083,16.3725
Wuzhou,China,23.4767,111.279
Perth,Australia,-31.9559,115.8606
Bengbu,China,32.917,117.389
Shaoguan,China,24.811,113.597
Deyang,China,31.127,104.398
Hechi,China,24.693,108.085
Weifang,China,36.708,119.162
Austin,United States,30.3005,-97.7522
Daqing,China,46.589,125.104
Ghāziābād,India,28.67,77.42
Zibo,China,36.8138,118.055
Sendai,Japan,38.2682,140.8694
Longyan,China,25.076,117.017
Orlando,United States,28.4773,-81.337
Stockholm,Sweden,59.3294,18.0686
Tongliao,China,43.654,122.243
Baojishi,China,34.363,107.238
Qinzhou,China,21.981,108.654
Huai’an,China,33.551,119.113
Bazhou,China,31.868,106.748
Kowloon,Hong Kong,22.3167,114.1833
Suining,China,30.533,105.593
Jinzhou,China,41.129,121.148
Guang’an,China,30.4564,106.6326
Changzhi,China,36.195,113.117
Tongren,China,27.7316,109.1895
San Jose,United States,37.3012,-121.848
Malang,Indonesia,-7.98,112.62
Pittsburgh,United States,40.4397,-79.9763
Nanping,China,26.6418,118.1774
Mogadishu,Somalia,2.0392,45.3419
Indianapolis,United States,39.7771,-86.1458
Xinzhou,China,38.416,112.734
Sanaa,Yemen,15.3483,44.2064
Huainan,China,32.6314,117.0194
Staten Island,United States,40.5834,-74.1496
Fukuoka,Japan,33.59,130.4017
Manhattan,United States,40.7834,-73.9662
Cincinnati,United States,39.1413,-84.506
Kansas City,United States,39.1238,-94.5541
Shanwei,China,22.7872,115.3756
Cleveland,United States,41.4764,-81.6805
Qincheng,China,34.5809,105.7311
Meishan,China,30.0771,103.8484
Xiangtan,China,27.8313,112.9454
Chaoyang,China,41.571,120.453
Mirzāpur,India,25.146,82.569
Lishui,China,28.468,119.923
Jiamusi,China,46.8,130.319
Heyuan,China,23.7443,114.7002
Bekasi,Indonesia,-6.2349,106.9923
Columbus,United States,39.9862,-82.9855
Ouagadougou,Burkina Faso,12.3686,-1.5275
Ankang,China,32.6854,109.029
Bronx,United States,40.8501,-73.8662
Gulou,China,26.0865,119.298
Sanming,China,26.2634,117.6389
Brasília,Brazil,-15.7939,-47.8828
Lusaka,Zambia,-15.4167,28.2833
Yangjiang,China,21.857,111.983
Virginia Beach,United States,36.7335,-76.0435
Zigong,China,29.339,104.779
San Juan,Puerto Rico,18.3985,-66.061
Luohe,China,33.583,114.0109
Charlotte,United States,35.2083,-80.8303
Dingxi,China,35.608,104.592
Xuanzhou,China,30.939,118.759
Guangyuan,China,32.436,105.844
Huangshi,China,30.2011,115.039
Tainan,Taiwan,22.9833,120.1833
Dublin,Ireland,53.35,-6.2603
Goyang,"Korea, South",37.65,126.8
Huludao,China,40.711,120.837
Baoshan,China,25.112,99.161
Lianshan,China,40.7523,120.828
Amsterdam,Netherlands,52.3728,4.8936
Longba,China,33.3702,104.9603
Tieling,China,42.2237,123.726
Yunfu,China,22.9152,112.0445
Konya,Turkey,37.8667,32.4833
Anshun,China,26.2531,105.9476
Yingkou,China,40.625,122.219
Honolulu,United States,21.3294,-157.846
Yanjiang,China,30.129,104.627
Copenhagen,Denmark,55.6761,12.5683
Milwaukee,United States,43.0642,-87.9675
Providence,United States,41.823,-71.4187
Jacksonville,United States,30.3322,-81.6749
Mudanjiang,China,44.5514,129.6329
Yan’an,China,36.65,109.494
Jincheng,China,35.491,112.852
Warsaw,Poland,52.23,21.0111
Nantong,China,31.981,120.894
Lincang,China,23.884,100.089
Yuxi,China,24.347,102.527
Abu Dhabi,United Arab Emirates,24.4667,54.3667
Laibin,China,23.7501,109.2212
Salvador,Brazil,-12.9747,-38.4767
Omdurman,Sudan,15.65,32.4833
Shengli,China,37.434,118.6746
Dandong,China,40.1167,124.3833
Qinbaling,China,35.7278,107.64
Gaoping,China,30.7824,106.1281
Valencia,Spain,39.47,-0.3764
Taizhou,China,28.6557,121.4208
Ma’anshan,China,31.669,118.507
Tel Aviv-Yafo,Israel,32.08,34.78
Medellín,Colombia,6.2308,-75.5906
Zhongli,Taiwan,24.965,121.2168
Batman,Turkey,37.887,41.132
Córdoba,Argentina,-31.4167,-64.1833
Adelaide,Australia,-34.9275,138.6
Puning,China,23.298,116.166
Huaibei,China,33.956,116.798
Chongzuo,China,22.377,107.365
Nashville,United States,36.1715,-86.7842
Helsinki,Finland,60.1708,24.9375
Yushan,China,31.322,120.985
Salt Lake City,United States,40.7776,-111.9311
Raleigh,United States,35.8324,-78.6429
Hezhou,China,24.4042,111.5672
Pingliang,China,35.5424,106.6649
Montevideo,Uruguay,-34.8836,-56.1819
Qingyang,China,24.7816,118.5517
Doha,Qatar,25.2867,51.5333
Tijuana,Mexico,32.525,-117.0333
Shangzhou,China,33.868,109.9244
Sanmenxia,China,34.7732,111.2004
Baicheng,China,45.62,122.838
Calgary,Canada,51.05,-114.0667
Auckland,New Zealand,-36.8406,174.74
Kawasaki,Japan,35.5167,139.7
Daejeon,"Korea, South",36.35,127.385
Kōbe,Japan,34.69,135.1956
Ecatepec,Mexico,19.6097,-99.06
Masqaţ,Oman,23.5889,58.4083
Boankra,Ghana,6.6944,-1.4028
Omaha,United States,41.2627,-96.0529
Almaty,Kazakhstan,43.24,76.915
Brussels,Belgium,50.8467,4.3525
Kyōto,Japan,35.0117,135.7683
Pingxiang,China,27.659,113.887
Mersin,Turkey,36.8,34.6333
Milan,Italy,45.4669,9.19
Richmond,United States,37.5295,-77.4756
Oslo,Norway,59.9133,10.7389
Medina,Saudi Arabia,24.47,39.61
Baku,Azerbaijan,40.3953,49.8822
Manaus,Brazil,-3.1189,-60.0217
Yinchuan,China,38.485,106.225
Sharjah,United Arab Emirates,25.3575,55.3908
Havana,Cuba,23.1367,-82.3589
Xiping,China,40.082,113.2981
Adana,Turkey,37.0,35.3213
Khowrhesht,Iran,36.205,49.6872
Jixi,China,45.295,130.969
Fushun,China,41.881,123.957
Beihai,China,21.481,109.12
Memphis,United States,35.1087,-89.9663
Diyarbakır,Turkey,37.91,40.24
Fuxin,China,42.022,121.67
Wuwei,China,37.929,102.638
Siping,China,43.1668,124.3506
Edmonton,Canada,53.5344,-113.4903
Prague,Czechia,50.0875,14.4214
Oklahoma City,United States,35.4676,-97.5136
Shuyangzha,China,34.1299,118.7734
Saitama,Japan,35.8614,139.6456
Santos,Brazil,-23.9369,-46.325
Bekasi Kota,Indonesia,-6.2333,107.0
Hartford,United States,41.7661,-72.6834
Minsk,Belarus,53.9,27.5667
Louisville,United States,38.1663,-85.6485
Shuozhou,China,39.3317,112.4329
San José,Costa Rica,9.9325,-84.08
Cologne,Germany,50.9364,6.9528
Sofia,Bulgaria,42.7,23.33
Suwon,"Korea, South",37.2667,127.0167
Changsha,China,22.3773,112.6982
Novosibirsk,Russia,55.05,82.95
Panama City,Panama,8.9833,-79.5167
Sanzhou,China,30.82,108.4
Changshu,China,31.656,120.753
Heihe,China,50.2401,127.521
Ximeicun,China,24.9612,118.3849
New Orleans,United States,30.0687,-89.9288
Ottawa,Canada,45.4247,-75.695
Colombo,Sri Lanka,6.9344,79.8428
Eşfahān,Iran,32.6447,51.6675
Fort Worth,United States,32.7817,-97.3474
Tangerang,Indonesia,-6.1703,106.6403
Curitiba,Brazil,-25.4297,-49.2711
Porto,Portugal,41.1621,-8.622
Wuxi,China,26.58,111.841
Mbuji-Mayi,Congo (Kinshasa),-6.15,23.6
Muscat,Oman,23.6139,58.5922
Kotla Qasim Khan,Pakistan,32.5833,73.75
Jingdezhen,China,29.2917,117.1986
Bridgeport,United States,41.1918,-73.1954
León de los Aldama,Mexico,21.1167,-101.6833
Puebla,Mexico,19.0333,-98.1833
Gāzipura,Bangladesh,23.9889,90.375
Liaoyang,China,41.279,123.176
Chengtangcun,China,35.0833,117.15
Jiangyin,China,31.839,120.295
Hiroshima,Japan,34.3914,132.4519
Ulsan,"Korea, South",35.55,129.3167
Hebi,China,35.748,114.297
Caracas,Venezuela,10.4806,-66.9036
Tucson,United States,32.1541,-110.8787
Huzhou,China,30.8925,120.0875
Depok,Indonesia,-6.394,106.8225
Sakai,Japan,34.5733,135.4831
El Paso,United States,31.8476,-106.43
Barcelona,Venezuela,10.1403,-64.6833
Yekaterinburg,Russia,56.8356,60.6128
Haiphong,Vietnam,20.8651,106.6838
Jiaxing,China,30.747,120.756
Zhangjiajie,China,29.117,110.479
Baiyin,China,36.5451,104.1389
Guiping,China,23.4,110.0833
Lianjiang,China,21.7333,110.2833
Jianguang,China,28.1958,115.7833
Yucheng,China,30.01,103.0415
Zapopan,Mexico,20.7167,-103.4
Xushan,China,30.1667,121.2333
Leizhou,China,20.9143,110.0967
Sevilla,Spain,37.39,-5.99
Vancouver,United States,45.6366,-122.5967
Tongjin,"Korea, South",37.2333,127.2
Karaj,Iran,35.8272,50.9489
Kayseri,Turkey,38.7225,35.4875
Huazhou,China,32.688,112.087
Bordeaux,France,44.84,-0.58
Jinhua,China,29.079,119.647
Pizhou,China,34.398,117.89
Jerusalem,Israel,31.7789,35.2256
Yangshe,China,31.8767,120.556
Samsun,Turkey,41.2903,36.3336
Zamboanga City,Philippines,6.9042,122.0761
Quito,Ecuador,-0.22,-78.5125
Rui’an,China,27.7833,120.625
McAllen,United States,26.2252,-98.2467
Wenling,China,28.3667,121.3667
Gaozhou,China,21.9244,110.8422
Hempstead,United States,40.6629,-73.6089
Mosul,Iraq,36.34,43.13
Skopje,North Macedonia,41.9961,21.4317
Fuqing,China,25.7167,119.3833
Wuzhong,China,37.9978,106.1986
Changwon,"Korea, South",35.2708,128.6631
Pingdu,China,36.7769,119.9884
Recife,Brazil,-8.05,-34.9
Albuquerque,United States,35.1054,-106.6465
Yangquan,China,37.8571,113.5804
Yutan,China,28.278,112.552
Supaul,India,26.126,86.605
Juárez,Mexico,31.745,-106.485
Chizhou,China,30.6654,117.4916
Liangshi,China,27.26,111.7442
Huangshan,China,29.7149,118.3376
Goiânia,Brazil,-16.6667,-49.25
Benxi,China,41.4868,123.685
Santa Cruz,Bolivia,-17.8,-63.1833
Balıkesir,Turkey,39.6333,27.8833
Portsmouth,United Kingdom,50.8058,-1.0872
Southampton,United Kingdom,50.9025,-1.4042
Xintai,China,35.909,117.768
Nicosia,Cyprus,35.1725,33.365
Shaoyang,China,32.912,119.8526
Yaoundé,Cameroon,3.8667,11.5167
Málaga,Spain,36.7194,-4.42
Wusong,China,30.9333,117.7667
Yushu,China,44.826,126.55
Kazan,Russia,55.7964,49.1089
Tulsa,United States,36.1283,-95.9042
Kuaidamao,China,41.7283,125.9397
Huazhou,China,21.664,110.6396
Baishan,China,41.944,126.4147
Rosario,Argentina,-32.9575,-60.6394
Haicheng,China,40.8824,122.6852
Fresno,United States,36.783,-119.7939
Naples,Italy,40.8333,14.25
Nizhniy Novgorod,Russia,56.3269,44.0075
Chiba,Japan,35.6073,140.1064
Kōchi,Japan,33.5589,133.5314
Hwasu-dong,"Korea, South",37.1997,126.8314
Marseille,France,43.2964,5.37
Yicheng,China,31.36,119.815
Phnom Penh,Cambodia,11.5694,104.9211
Harare,Zimbabwe,-17.8292,31.0522
Rucheng,China,32.246,120.591
Huaiyin,China,33.5819,119.028
Charleston,United States,32.8168,-79.9687
Sŏngnam,"Korea, South",37.4333,127.15
Vadodara,India,22.3,73.2
Dayan,China,26.8552,100.2259
Tampere,Finland,61.4981,23.76
Laiwu,China,36.1833,117.6667
Rochester,United States,43.168,-77.6162
Jingling,China,30.664,113.167
Nantes,France,47.2181,-1.5528
Setagaya,Japan,35.6466,139.6532
Rājkot,India,22.3,70.7833
Yongcheng,China,33.9299,116.45
Chelyabinsk,Russia,55.1547,61.3758
Vishākhapatnam,India,17.7042,83.2978
Kitakyūshū,Japan,33.8833,130.8833
Yiwu,China,29.3069,120.0753
Kochi,India,9.9312,76.2673
Porto Alegre,Brazil,-30.0331,-51.23
Beidao,China,34.602,105.918
Ad Dammām,Saudi Arabia,26.4333,50.1
Guarulhos,Brazil,-23.4628,-46.5328
Xiangshui,China,26.5964,104.8314
Davao,Philippines,7.07,125.6
Leeds,United Kingdom,53.7975,-1.5436
Dadukou,China,26.5824,101.7184
Omsk,Russia,54.9833,73.3667
Frankfurt,Germany,50.1106,8.6822
Lingcheng,China,22.7,110.35
Samara,Russia,53.2028,50.1408
Indore,India,22.7167,75.8472
Shuangyashan,China,46.6762,131.1416
Belgrade,Serbia,44.82,20.46
Shymkent,Kazakhstan,42.3167,69.5958
Belém,Brazil,-1.4558,-48.5039
Xinyu,China,27.8186,114.9167
Tabūk,Saudi Arabia,28.3972,36.5789
Zhangye,China,38.9248,100.4499
Dayton,United States,39.7805,-84.2003
Turin,Italy,45.0792,7.6761
Rongcheng,China,26.218,104.103
Semarang,Indonesia,-6.99,110.4225
Rostov,Russia,47.2225,39.71
Winnipeg,Canada,49.8844,-97.1464
Liaoyuan,China,42.888,125.1447
Guankou,China,28.1637,113.6433
Shīrāz,Iran,29.61,52.5425
Cape Coral,United States,26.6443,-81.9957
Cheongju,"Korea, South",36.6333,127.4833
Lianyuan,China,27.692,111.664
Rongcheng,China,29.8402,112.9048
Al ‘Ayn,United Arab Emirates,24.2075,55.7447
Tabrīz,Iran,38.0814,46.3006
Kaiyuan,China,36.0193,113.86
Zhuji,China,29.7167,120.2333
Ufa,Russia,54.7261,55.9475
Yingtan,China,28.2721,117.0395
Leiyang,China,26.4223,112.8598
Yichun,China,47.728,128.841
Thāne,India,19.1972,72.9722
Mission Viejo,United States,33.6096,-117.6551
Guyuan,China,36.01,106.257
Xiantao,China,30.328,113.443
Caloocan City,Philippines,14.65,120.97
Quebec City,Canada,46.8139,-71.2081
Colorado Springs,United States,38.8674,-104.7605
Baton Rouge,United States,30.442,-91.1311
Hamilton,Canada,43.2567,-79.8692
Yingchuan,China,34.1511,113.4733
Ulaanbaatar,Mongolia,47.9203,106.9172
Barranquilla,Colombia,10.9833,-74.8019
Los Ángeles,Chile,-37.4667,-72.35
Nottingham,United Kingdom,52.9561,-1.1512
Palembang,Indonesia,-2.9861,104.7556
Mexicali,Mexico,32.6633,-115.4678
Krasnoyarsk,Russia,56.0089,92.8719
Monrovia,Liberia,6.3133,-10.8014
Campinas,Brazil,-22.9058,-47.0608
Allentown,United States,40.5961,-75.4756
Mississauga,Canada,43.6,-79.65
Ogden,United States,41.2279,-111.9682
Rotterdam,Netherlands,51.92,4.48
Provo,United States,40.2457,-111.6457
Tegucigalpa,Honduras,14.1058,-87.2047
Astana,Kazakhstan,51.1472,71.4222
Nezahualcóyotl,Mexico,19.4081,-99.0186
Riga,Latvia,56.9489,24.1064
Dongtai,China,32.795,120.519
Knoxville,United States,35.9692,-83.9496
Dingzhou,China,38.516,114.99
Xibeijie,China,39.7334,98.4943
Yuyao,China,30.05,121.15
Ciudad Nezahualcóyotl,Mexico,19.4006,-99.0148
Hanchuan,China,30.652,113.8274
Gongzhuling,China,43.5053,124.8224
Bhopāl,India,23.2599,77.4126
Bristol,United Kingdom,51.4536,-2.5975
Lublin,Poland,51.25,22.5667
Voronezh,Russia,51.6717,39.2106
Denizli,Turkey,37.7833,29.0964
Perm,Russia,58.0,56.3167
Grand Rapids,United States,42.9619,-85.6562
Maracaibo,Venezuela,10.6333,-71.6333
Zhufeng,China,36.0,119.4167
Ezhou,China,30.3914,114.8949
Columbia,United States,34.0378,-80.9036
Xiashi,China,30.5333,120.6833
Bamenda,Cameroon,5.9614,10.1517
Kharkiv,Ukraine,49.9925,36.2311
Bucheon,"Korea, South",37.5,126.7833
Zhongwei,China,37.5002,105.1968
Alexandria,United States,38.8185,-77.0861
Xishan,China,27.6461,113.497
Mizhou,China,35.99,119.3801
Santo Domingo,Dominican Republic,18.4667,-69.95
Hegang,China,47.3501,130.298
Rawalpindi,Pakistan,33.6,73.0333
Albany,United States,42.6664,-73.7987
Bilbao,Spain,43.2569,-2.9236
Pimpri-Chinchwad,India,18.6186,73.8037
Toledo,United States,41.6638,-83.5827
Ar Rayyān,Qatar,25.25,51.4
Fangchenggang,China,21.6867,108.3547
Jiancheng,China,30.3931,104.5465
Niigata,Japan,37.9161,139.0364
Hamamatsu,Japan,34.7108,137.7275
Volgograd,Russia,48.7086,44.5147
Shouguang,China,36.857,118.791
Al Başrah,Iraq,30.515,47.81
Valencia,Venezuela,10.1833,-68.0
Gwangju,"Korea, South",37.3667,127.2833
